sku,name,brand,color,size,mrp,price,quantity
SKU1189,Sweater,Nike,Grey,L,580.34,469.79,48
SKU1190,Track Pants,Nike,Yellow,S,2079.49,1524.46,26
SKU1191,Sweater,Nike,Red,L,2996.88,2909.75,44
SKU1192,Sneakers,Levis,White,L,638.99,430.15,37
SKU1193,Cap,Reebok,Grey,XL,721.4,684.53,6
SKU1194,Jacket,Reebok,Red,XXL,4357.15,3729.06,16
SKU1195,Jacket,Puma,Red,M,1280.58,1100.61,50
SKU1196,Cap,Puma,Black,M,2385.18,1927.39,24
SKU1197,Shorts,Levis,Green,L,4450.31,4423.27,1
SKU1198,Sneakers,Zara,Yellow,M,3457.05,3309.11,30
SKU1199,Shoes,Nike,Black,XL,789.99,533.39,37
SKU1200,T-Shirt,Puma,Red,M,2937.09,2818.33,26
SKU1201,Sweater,Puma,White,M,1667.83,1087.24,45
SKU1202,T-Shirt,Puma,Black,L,4807.52,4101.55,32
SKU1203,Hoodie,Reebok,Green,XL,2990.86,2032.2,47
SKU1204,Jeans,Adidas,Red,M,3040.15,3014.22,30
SKU1205,Jeans,Adidas,Black,M,4373.33,3950.48,35
SKU1206,T-Shirt,Puma,Red,XXL,1927.65,1785.78,6
SKU1207,Shorts,Reebok,Grey,L,1207.75,1061.82,14
SKU1208,Jacket,Levis,Green,S,2297.03,2059.58,8
SKU1209,Sneakers,H&M,Red,L,4360.89,4341.35,38
SKU1210,Sweater,Nike,Grey,S,3937.93,2948.19,14
SKU1211,Jeans,Levis,White,M,1172.81,894.95,12
SKU1212,Hoodie,Reebok,Grey,XXL,2339.34,1649.44,30
SKU1213,Shorts,Puma,Black,XL,4973.44,4715.17,35
SKU1214,Hoodie,Adidas,White,XL,3167.84,2768.85,7
SKU1215,Sweater,H&M,Red,XXL,4479.88,4060.27,6
SKU1216,Cap,H&M,Black,S,2651.4,1881.36,36
SKU1217,Sweater,Zara,Green,XL,3683.16,3365.63,35
SKU1218,T-Shirt,Puma,Black,XXL,2465.48,2237.2,43
SKU1219,Shorts,Puma,Green,M,3187.32,2960.96,8
SKU1220,Shoes,H&M,Yellow,M,1335.54,1225.28,20
SKU1221,Sneakers,Nike,Yellow,S,2544.36,2045.08,4
SKU1222,Hoodie,Nike,Blue,L,4360.93,2658.79,17
SKU1223,Hoodie,Adidas,Red,L,1783.95,1273.56,36
SKU1224,Sweater,Zara,Green,S,3195.38,2172.72,6
SKU1225,Jeans,Reebok,White,S,4109.25,2497.67,2
SKU1226,Shoes,Adidas,Black,XL,3829.46,3500.35,6
SKU1227,Shorts,Nike,Black,S,3793.29,3585.26,6
SKU1228,Track Pants,Levis,Yellow,XL,2678.69,2322.84,21
SKU1229,Sweater,Zara,Yellow,M,3590.24,2648.46,13
SKU1230,Jacket,Adidas,Green,M,3432.29,3098.67,26
SKU1231,Hoodie,Puma,Black,M,3854.57,2391.78,6
SKU1232,Hoodie,Nike,Green,S,585.87,421.13,41
SKU1233,Cap,Reebok,Grey,L,3593.11,2579.46,39
SKU1234,Jacket,H&M,White,XL,4032.34,2459.47,34
SKU1235,Hoodie,Reebok,Yellow,S,1543.1,1366.2,38
SKU1236,Jeans,Adidas,Grey,M,3994.64,2699.97,21
SKU1237,T-Shirt,Nike,Red,M,3893.38,2485.06,37
SKU1238,Hoodie,Nike,Yellow,M,4228.89,3334.6,7
SKU1239,Sweater,Zara,White,XXL,1908.21,1185.48,17
SKU1240,Shoes,Levis,Red,M,1424.99,1214.61,24
SKU1241,Cap,Nike,Black,L,4408.8,4392.77,47
SKU1242,Cap,Reebok,Grey,M,4198.08,2864.39,12
SKU1243,Sweater,Zara,Red,M,689.29,457.85,29
SKU1244,Shorts,Adidas,Grey,M,1561.41,1134.44,6
SKU1245,Shorts,Levis,White,L,3942.95,2903.56,6
SKU1246,Shorts,Reebok,Green,L,1747.57,1212.88,27
SKU1247,Sneakers,Adidas,White,M,2735.14,2566.96,17
SKU1248,Jacket,Nike,Red,L,3507.32,3289.64,27
SKU1249,T-Shirt,H&M,Grey,XXL,3953.82,3549.51,48
SKU1250,T-Shirt,Adidas,Grey,S,1574.39,1544.48,16
SKU1251,Sweater,Reebok,Yellow,S,1099.65,758.93,6
SKU1252,Shorts,Levis,Grey,L,2963.66,2706.06,24
SKU1253,Shorts,Zara,Green,L,1491.66,1244.08,50
SKU1254,Sweater,Levis,White,S,4557.77,3909.95,31
SKU1255,T-Shirt,Zara,Red,M,4459.09,4400.61,3
SKU1256,Sneakers,Nike,Grey,M,3258.93,3208.13,14
SKU1257,Sweater,H&M,Green,XXL,3613.03,3001.49,12
SKU1258,Jeans,Levis,Red,XL,3335.48,3182.27,33
SKU1259,Jacket,Puma,Blue,S,956.23,829.77,17
SKU1260,Hoodie,Zara,Blue,L,1914.86,1599.77,41
SKU1261,Jeans,Puma,Blue,M,2197.73,1545.68,34
SKU1262,Sweater,H&M,Blue,L,2521.74,1980.27,6
SKU1263,Shorts,Puma,Yellow,L,3719.13,3543.66,29
SKU1264,Sneakers,Puma,Green,M,4590.56,4186.32,41
SKU1265,Hoodie,Nike,Blue,XL,3879.88,3114.49,23
SKU1266,Sweater,Adidas,Red,XXL,3173.55,2833.08,16
SKU1267,Sneakers,Reebok,Red,XXL,754.49,483.68,25
SKU1268,Sweater,Puma,Green,S,1653.75,1563.97,24
SKU1269,Track Pants,Levis,Black,XL,1183.06,995.39,46
SKU1270,Jacket,Nike,Black,M,4595.85,4554.58,21
SKU1271,Jeans,H&M,Black,XL,3264.54,2227.6,26
SKU1272,Jacket,Reebok,Green,L,3771.12,2572.21,47
SKU1273,Shorts,Levis,Grey,S,4258.12,3693.91,33
SKU1274,Cap,Adidas,Grey,XXL,4765.53,3545.53,29
SKU1275,Hoodie,Zara,Green,XL,1982.6,1615.55,31
SKU1276,Jacket,Nike,Yellow,S,2597.28,2344.03,12
SKU1277,Sweater,Nike,Black,XXL,997.27,662.85,26
SKU1278,Jacket,Levis,Red,L,625.06,388.06,13
SKU1279,Cap,Nike,Grey,XXL,1405.21,1157.63,12
SKU1280,Cap,Zara,Blue,M,4359.33,3599.8,22
SKU1281,Track Pants,Levis,Black,XL,2993.13,2576.42,6
SKU1282,T-Shirt,Nike,Yellow,S,3561.96,2621.84,16
SKU1283,Track Pants,Zara,Blue,XXL,1345.78,863.13,39
SKU1284,Shorts,Adidas,Grey,S,4607.98,3587.25,48
SKU1285,Sneakers,H&M,Black,M,4916.23,3385.28,10
SKU1286,Shorts,Zara,Grey,XXL,4600.52,4389.33,39
SKU1287,Cap,Puma,Yellow,XL,4587.7,3190.39,45
SKU1288,T-Shirt,Adidas,Yellow,XXL,2515.83,2452.75,9
SKU1289,Sweater,Reebok,White,XXL,1034.58,730.99,50
SKU1290,Jacket,Reebok,Yellow,S,3065.79,2282.19,4
SKU1291,Shorts,Adidas,Green,M,4026.42,2771.41,4
SKU1292,Track Pants,Puma,Red,S,4552.59,4174.14,15
SKU1293,T-Shirt,Puma,Green,S,1202.02,770.99,39
SKU1294,Sneakers,Reebok,Red,S,2296.99,2184.88,31
SKU1295,Sweater,Adidas,Blue,S,4487.09,2930.08,47
SKU1296,Sneakers,Nike,Red,XL,2986.46,2228.37,47
SKU1297,Shorts,Adidas,Blue,M,4520.92,2760.58,41
SKU1298,Sweater,H&M,Yellow,M,787.43,599.58,18
SKU1299,Shorts,Nike,Blue,S,4337.43,3150.51,42
SKU1300,Track Pants,H&M,Yellow,M,572.6,389.58,3
SKU1301,Track Pants,Reebok,Red,S,1307.01,960.19,2
SKU1302,Cap,Reebok,Red,M,2392.35,2053.74,25
SKU1303,Jeans,Puma,Black,M,4559.02,2802.12,34
SKU1304,Jeans,Levis,White,M,1117.26,967.48,9
SKU1305,Jacket,Zara,Yellow,S,4884.92,3567.51,16
SKU1306,Sweater,Zara,Yellow,S,2025.96,1788.0,27
SKU1307,Track Pants,Reebok,Red,S,936.09,669.47,49
SKU1308,Hoodie,H&M,Grey,L,1417.34,1265.06,47
SKU1309,Shoes,Nike,Green,S,3303.98,2911.17,45
SKU1310,Track Pants,Adidas,Red,S,4090.54,3821.6,34
SKU1311,Cap,Adidas,Red,M,2654.08,1858.79,11
SKU1312,Sweater,Adidas,Blue,L,3257.33,2457.7,38
SKU1313,Shorts,Reebok,White,XXL,1620.54,1158.19,30
SKU1314,Hoodie,Puma,White,XXL,4750.27,3052.58,32
SKU1315,Sweater,Reebok,Green,S,702.24,565.86,21
SKU1316,Sweater,Zara,Yellow,XL,3681.59,3124.03,1
SKU1317,T-Shirt,H&M,Black,S,560.28,367.1,6
SKU1318,Jacket,Levis,Blue,S,2343.52,1700.58,15
SKU1319,Shoes,H&M,White,XXL,3615.76,3441.4,47
SKU1320,Cap,Levis,Grey,L,1094.03,766.54,43
SKU1321,Track Pants,Zara,Grey,S,2534.63,2533.22,31
SKU1322,Jeans,Adidas,Grey,S,4809.73,4028.37,16
SKU1323,Sweater,Puma,Red,XXL,3762.85,2942.57,28
SKU1324,Cap,Zara,White,L,4402.61,2837.0,26
SKU1325,Hoodie,Zara,Blue,XL,3716.06,2583.3,40
SKU1326,Track Pants,Nike,Blue,L,2526.98,1906.84,34
SKU1327,Shoes,Adidas,Green,S,1463.74,1258.57,39
SKU1328,T-Shirt,Levis,Red,S,4313.57,2804.11,47
SKU1329,Shoes,Nike,Black,XXL,1508.28,1081.95,3
SKU1330,T-Shirt,Reebok,Yellow,M,2376.35,2203.86,35
SKU1331,Track Pants,Nike,Grey,L,4970.96,4083.46,7
SKU1332,Shoes,Zara,Yellow,S,2039.15,1710.78,28
SKU1333,Sweater,H&M,Black,XXL,529.38,391.01,18
SKU1334,T-Shirt,H&M,Blue,XXL,2888.68,2629.26,19
SKU1335,Hoodie,H&M,Green,L,642.55,623.74,26
SKU1336,Cap,Zara,Grey,XL,3771.84,3428.73,30
SKU1337,Shoes,Levis,Grey,S,2803.75,2193.21,46
SKU1338,T-Shirt,H&M,Yellow,M,797.97,706.08,42
SKU1339,Sneakers,H&M,Red,XXL,3593.25,3533.84,48
SKU1340,Sneakers,Nike,Green,L,3324.8,3010.26,28
SKU1341,Cap,H&M,Red,L,3230.58,2166.55,20
SKU1342,Shoes,Levis,Grey,M,1502.45,1343.36,9
SKU1343,Shoes,Zara,Red,S,1866.68,1271.97,41
SKU1344,Sweater,Nike,Green,XXL,1210.88,995.74,43
SKU1345,Track Pants,Adidas,Yellow,XXL,4688.5,3869.28,9
SKU1346,Track Pants,Nike,Grey,L,1196.18,986.33,9
SKU1347,Cap,Zara,Yellow,XL,1111.29,696.3,16
SKU1348,T-Shirt,Levis,Grey,S,2099.73,1879.06,12
SKU1349,Shorts,Nike,Grey,XXL,3058.58,2920.73,31
SKU1350,Jeans,Reebok,Green,XXL,2040.59,1947.76,29
SKU1351,Shoes,Reebok,Green,XL,2678.01,2232.14,46
SKU1352,T-Shirt,Adidas,Yellow,XXL,4695.18,4339.56,21
SKU1353,Jeans,Adidas,Red,XL,1482.6,989.4,47
SKU1354,Sneakers,Nike,Grey,XXL,2360.45,2141.99,40
SKU1355,Jacket,Reebok,Black,XXL,3403.57,2232.26,4
SKU1356,Jeans,Puma,Green,XXL,3701.28,2993.3,41
SKU1357,T-Shirt,Adidas,White,S,3902.8,3627.25,22
SKU1358,Hoodie,Zara,Blue,L,2020.28,1491.55,41
SKU1359,Shorts,Levis,Black,XL,1386.66,1015.77,41
SKU1360,Shoes,Adidas,Grey,M,2704.78,2600.71,43
SKU1361,Sweater,H&M,Red,M,2929.63,2051.9,36
SKU1362,Hoodie,Zara,Yellow,M,1637.22,1536.15,23
SKU1363,Hoodie,Zara,Red,L,2556.8,1688.52,31
SKU1364,Shoes,Zara,Grey,XXL,2289.07,2024.0,5
SKU1365,Hoodie,Nike,Yellow,M,1011.54,654.33,37
SKU1366,Shorts,Zara,Green,M,1523.18,1277.89,12
SKU1367,Track Pants,Levis,Red,XXL,2816.47,1906.12,5
SKU1368,Sweater,Reebok,Black,L,1181.06,1135.02,9
SKU1369,Hoodie,Reebok,Red,S,3461.67,2166.66,10
SKU1370,Jeans,H&M,Yellow,L,3085.11,2077.46,34
SKU1371,Jeans,H&M,White,S,1502.06,981.51,20
SKU1372,Track Pants,Adidas,Yellow,XXL,1612.64,1593.42,36
SKU1373,Sweater,H&M,Red,XXL,3377.82,3033.63,13
SKU1374,Jacket,Adidas,Blue,M,3791.47,3628.97,7
SKU1375,Jeans,Reebok,White,XL,2811.05,2567.29,10
SKU1376,Sneakers,H&M,Blue,S,2789.33,2207.98,6
SKU1377,Jeans,Nike,Black,XXL,3228.34,3104.47,17
SKU1378,Sweater,Adidas,White,L,3867.07,3506.56,14
SKU1379,T-Shirt,Reebok,Yellow,S,1249.31,975.42,46
SKU1380,Cap,Reebok,Blue,XXL,2600.86,2351.1,13
SKU1381,Jeans,Nike,Yellow,XXL,970.36,697.46,41
SKU1382,Shoes,H&M,Black,M,2941.0,2237.85,2
SKU1383,Sweater,Reebok,Green,XL,813.77,513.89,42
SKU1384,Sneakers,Reebok,White,L,4390.23,2710.73,26
SKU1385,Jeans,Puma,Grey,XXL,2442.78,2426.73,28
SKU1386,Hoodie,Nike,White,S,3008.65,2093.04,19
SKU1387,Track Pants,Levis,White,S,1403.3,1372.29,25
SKU1388,Track Pants,Puma,Red,M,2069.35,1728.48,49
SKU1389,Jacket,Nike,Black,M,3210.03,2888.63,8
SKU1390,Sweater,Levis,Black,M,3722.79,3531.9,10
SKU1391,Sweater,Nike,Black,S,647.64,557.78,8
SKU1392,T-Shirt,H&M,White,XXL,1579.05,1255.46,32
SKU1393,Shoes,Levis,Red,XXL,3054.44,1987.62,27
SKU1394,Cap,Levis,Red,M,3544.08,2458.39,49
SKU1395,Track Pants,Levis,Blue,L,1142.4,1003.41,4
SKU1396,Track Pants,Zara,Blue,L,2683.07,2209.19,32
SKU1397,Jeans,Puma,Green,L,1413.29,1043.64,7
SKU1398,Sneakers,Zara,White,L,1105.03,1031.65,5
SKU1399,Sweater,Zara,Black,S,4273.19,3217.83,50
SKU1400,Shorts,Reebok,Green,S,3029.63,2654.04,2
SKU1401,Shoes,Reebok,Blue,XXL,1369.9,871.61,46
SKU1402,Track Pants,Zara,Red,XXL,3456.54,3194.97,6
SKU1403,Jacket,Nike,Black,S,1143.07,1123.15,19
SKU1404,Jeans,Adidas,White,M,1070.42,922.72,41
SKU1405,Jacket,Adidas,Blue,M,1133.71,1110.94,12
SKU1406,Track Pants,Reebok,White,M,3658.69,2216.29,32
SKU1407,Jeans,Zara,White,L,4369.31,3240.76,15
SKU1408,Cap,H&M,Yellow,S,2208.92,1772.62,11
SKU1409,Jacket,Levis,Red,XXL,4046.51,3394.43,18
SKU1410,Sweater,Zara,Yellow,XL,3871.44,2611.19,50
SKU1411,Jacket,Levis,Black,XL,3173.32,3011.87,3
SKU1412,Jeans,Levis,Green,XXL,4170.75,3936.13,36
SKU1413,Cap,Puma,Green,XXL,3978.45,2672.62,45
SKU1414,Sneakers,Puma,Yellow,L,1509.54,1015.04,35
SKU1415,Jacket,Levis,Green,XXL,1018.07,915.14,34
SKU1416,Track Pants,Zara,White,XL,3447.42,3135.52,17
